subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress
5,immediate,1,aisle,scar,T,1,494379.782848703,scar,494386.339379023,494386.947311436
5,immediate,1,umbrella,camera,S,1,494387.182207701,cameras,494388.467258528,494390.859122972
5,immediate,1,pile,skirt,,1,494391.198712986,skirts,494397.594780345,494398.562717877
5,immediate,1,gate,belly,,1,494398.748351237,belly,494400.402650034,494400.858579648
5,immediate,1,hostage,plate,,1,494401.231573536,paper,494408.754173862,494409.218221344
5,immediate,1,tail,paper,,1,494409.331206219,paper,494410.538070879,494411.010033991
5,immediate,1,trophy,spider,S,1,494411.264437709,spider,494412.289988134,494412.929989052
5,immediate,1,lightning,poet,,1,494413.081023526,camera,494416.417803648,494417.161741885
5,immediate,1,glass,telephone,,1,494417.430841618,telephone,494419.033671311,494420.24156376
5,immediate,1,costume,apartment,T,1,494420.580698588,apartment,494422.617516652,494423.417464372
5,immediate,2,tongue,chain,,1,494612.289063276,chain,494614.103333928,494614.47127641
5,immediate,2,hotel,spark,T,1,494614.955317016,hostage,494621.014938699,494621.606955939
5,immediate,2,cell,cannon,S,1,494621.788345333,cannon,494623.054854919,494623.598819055
5,immediate,2,janitor,wheat,,1,494623.854889571,wheat,494626.31869467,494626.774677409
5,immediate,2,child,slave,,1,494627.304734557,slave,494628.318581779,494628.85452011
5,immediate,2,scale,minister,,1,494629.037989531,minister,494630.902431949,494631.814406483
5,immediate,2,messenger,storm,T,1,494632.171167655,storm,494634.494266269,494635.854148235
5,immediate,2,ball,rock,,1,494636.137670509,rock,494637.23014399,494637.534062354
5,immediate,2,fly,brick,,1,494638.020900475,rock,494645.629632179,494648.261509795
5,immediate,2,shield,soap,S,1,494649.687061851,soap,494654.765185233,494655.29317292
5,immediate,3,dial,gun,,1,494834.579100913,gun,494836.203603809,494836.355535976
5,immediate,3,corpse,rice,,1,494836.678675641,rice,494838.507447919,494839.02744723
5,immediate,3,drum,rope,,1,494839.2785578,rope,494840.531375314,494840.779346979
5,immediate,3,liquor,skin,S,1,494840.995148718,skin,494842.339242286,494842.803204949
5,immediate,3,saddle,planet,T,1,494843.12838691,planet,494844.15514925,494844.851135502
5,immediate,3,diamond,hurricane,,1,494845.028300853,hurricane,494848.450967253,494849.514946095
5,immediate,3,muscle,wallet,,1,494849.894748439,,NA,NA
5,immediate,3,cross,portrait,,1,494857.927721881,portrait,494862.850194948,494864.058110035
5,immediate,3,jeep,drain,T,1,494864.394127691,drain,494865.362060092,494865.921975623
5,immediate,3,circus,horn,S,1,494866.177352496,horn,494868.057900855,494868.313971975
5,immediate,4,anchor,flame,,1,495375.738002118,flame,495377.71896283,495378.126946497
5,immediate,4,stove,pencil,T,1,495378.537538723,gorilla,495381.286784936,495382.118731736
5,immediate,4,sting,star,,1,495382.754023542,star,495385.438548371,495386.606503772
5,immediate,4,blanket,shrimp,,1,495387.070489979,shrimp,495389.462336916,495390.766248941
5,immediate,4,dough,alcohol,S,1,495391.153652995,alcohol,495394.238083466,495395.110016514
5,immediate,4,guard,ground,T,1,495395.403472566,ground,495396.445997346,495396.981932055
5,immediate,4,bishop,gorilla,,1,495397.170035428,shrimp,495398.781860759,495399.70177175
5,immediate,4,eye,cigar,,1,495400.019920379,flame,495408.06934447,495408.653351601
5,immediate,4,tower,dove,,1,495408.836192275,pearl,495410.693243673,495411.253190596
5,immediate,4,rash,bear,S,1,495412.702683931,gorilla,495414.237059904,495415.204972986
5,immediate,5,wire,guitar,S,1,495595.294842736,guitar,495597.163387554,495598.5632938
5,immediate,5,hall,square,,1,495598.877639462,square,495601.059167102,495601.987104803
5,immediate,5,passenger,cream,,1,495602.244172923,cream,495606.258880408,495606.914899429
