subject,group,list,cue,target,practice,test,onset,response,firstPress,lastPress
82,delay,1,note,forehead,,1,111878.524911717,forehead,111882.009097717,111883.16900866
82,delay,1,shoulder,basement,T,1,111883.457408708,basement,111884.52100157,111885.68891784
82,delay,1,cave,copper,S,1,111885.990511691,metal,111887.104868848,111888.592862367
82,delay,1,skull,plane,,1,111888.990190524,plane,111894.952489029,111895.7843998
82,delay,1,smile,jewel,,1,111896.006218081,,NaN,NaN
82,delay,1,passenger,cigarette,T,1,111904.038705142,cigarette,111906.015950284,111908.919820255
82,delay,1,physician,frame,,1,111909.121535419,s,111911.127709129,111911.127709129
82,delay,1,hose,officer,,1,111911.354644047,nose,111915.535528336,111915.991499339
82,delay,1,eye,bush,,1,111916.437474022,sight,111918.175413284,111918.679361614
82,delay,1,armor,leaf,S,1,111918.920613815,leaf,111920.095326508,111920.415271548
82,delay,2,potato,peach,S,1,111930.819784909,peach,111932.390759026,111932.886683616
82,delay,2,metal,clay,T,1,111933.319111635,clay,111935.65460701,111936.198560846
82,delay,2,port,audience,,1,111936.385493276,audience,111937.766500479,111938.582418405
82,delay,2,picture,corner,,1,111938.818586268,corner,111941.070385965,111941.62227027
82,delay,2,beach,ankle,,1,111941.884984812,k,111943.654270449,111943.654270449
82,delay,2,pump,castle,T,1,111943.934745462,castle,111945.33410355,111946.486075271
82,delay,2,spray,stake,,1,111946.66782164,skunk,111948.541960126,111950.613866503
82,delay,2,tunnel,cart,,1,111950.984059073,cart,111956.237621566,111956.67756803
82,delay,2,court,cigar,,1,111956.90012403,,NaN,NaN
82,delay,2,steam,needle,S,1,111964.932659386,,NaN,NaN
82,delay,3,rock,golf,T,1,111982.981204491,golf,111985.45225253,111985.892192354
82,delay,3,planet,hostage,S,1,111986.297203463,hostage,111987.660125104,111988.812098334
82,delay,3,rabbit,mole,,1,111988.996932916,mole,111991.587966383,111992.019954306
82,delay,3,island,restaurant,,1,111992.363279332,resturant,111995.85176426,111997.427683864
82,delay,3,poison,gun,,1,111997.72939604,gun,111999.467611191,111999.675589714
82,delay,3,highway,lemon,S,1,112000.312474286,patrol,112001.891449202,112003.811406799
82,delay,3,knight,cocktail,T,1,112004.162136774,cocktail,112005.763280962,112007.915163033
82,delay,3,thorn,coach,,1,112008.361674704,,NaN,NaN
82,delay,3,paint,automobile,,1,112016.394207948,vehicle,112019.282666736,112020.378597847
82,delay,3,scar,pier,,1,112020.610479459,port,112022.866473343,112023.202452882
82,delay,4,chart,boss,,1,112033.726154488,boss,112035.481912175,112035.913875045
82,delay,4,stick,butter,,1,112036.058918434,,NaN,NaN
82,delay,4,smoke,tail,T,1,112044.091449263,tail,112046.769354759,112047.361359574
82,delay,4,tea,juice,S,1,112047.691092659,juice,112048.617267733,112049.073271336
82,delay,4,gorilla,telephone,,1,112049.274266893,telephone,112050.657202908,112051.961105599
82,delay,4,shovel,spaghetti,T,1,112052.257305717,spaghetti,112053.72107015,112055.480933883
82,delay,4,alley,shop,,1,112055.923620529,resturant,112059.424798795,112063.240610169
82,delay,4,nose,tide,S,1,112063.556210097,tide,112065.136538201,112065.440466247
82,delay,4,lane,cabinet,,1,112065.689315676,cabinet,112067.304434549,112067.99236806
82,delay,4,mattress,shell,,1,112068.172401136,nope,112070.608307055,112071.432181409
82,delay,5,machine,gift,S,1,112081.921340063,gift,112084.391613559,112084.815582271
82,delay,5,carriage,vice,,1,112085.220689368,vice,112089.087408415,112089.535379223
82,delay,5,deer,lieutenant,,1,112089.686911754,president,112092.375283851,112093.74317724
82,delay,5,squirrel,deck,T,1,112094.019814248,deck,112095.263043256,112095.671101527
82,delay,5,spring,sword,,1,112096.019620462,fling,112098.126958432,112098.606921872
82,delay,5,city,garbage,,1,112099.035979449,,NaN,NaN
82,delay,5,brick,ditch,,1,112107.068508466,corner,112110.702427074,112111.40631419
82,delay,5,spark,blanket,,1,112111.718059814,blanket,112112.766265641,112113.87023981
82,delay,5,circus,meal,T,1,112114.101145546,meal,112115.054191183,112115.31816202
