subject,group,list,cue,target,practice,test,onset
29,delay,1,cake,fountain,S,NaN,942777.454546881
29,delay,1,coal,tunnel,,1,942781.954148592
29,delay,1,hospital,bowl,T,1,942786.453770527
29,delay,1,corn,spice,T,NaN,942790.953385821
29,delay,1,music,seat,,NaN,942795.452996889
29,delay,1,hammer,bean,,1,942799.952602222
29,delay,1,salt,ditch,,1,942804.452210271
29,delay,1,physician,medicine,S,1,942808.951829791
29,delay,1,fly,tape,,NaN,942813.451470139
29,delay,1,orchestra,knight,,NaN,942817.951055248
29,delay,1,pool,fountain,,1,942822.450667221
29,delay,1,chain,tunnel,S,NaN,942826.950298513
29,delay,1,thread,bowl,,NaN,942831.449888754
29,delay,1,journal,spice,,1,942835.949517631
29,delay,1,lung,seat,,1,942840.449109984
29,delay,1,liquor,bean,T,NaN,942844.948712601
29,delay,1,mirror,ditch,,NaN,942849.448329102
29,delay,1,throne,medicine,,NaN,942853.947941076
29,delay,1,deer,tape,T,1,942858.447551238
29,delay,1,chicken,knight,S,1,942862.947157175
29,delay,2,bus,meal,S,1,942951.939398458
29,delay,2,detective,crowd,,NaN,942956.439005602
29,delay,2,monkey,cape,,1,942960.938643836
29,delay,2,suit,stove,,NaN,942965.438212948
29,delay,2,mattress,mayor,S,NaN,942969.937817979
29,delay,2,nail,elbow,T,NaN,942974.43742301
29,delay,2,cream,market,,NaN,942978.937025626
29,delay,2,apartment,leather,,1,942983.436626129
29,delay,2,queen,weed,,1,942987.93621637
29,delay,2,mountain,mechanic,T,1,942992.435837097
29,delay,2,dummy,meal,,NaN,942996.93541949
29,delay,2,cheese,crowd,S,1,943001.435041122
29,delay,2,quarter,cape,,NaN,943005.934628948
29,delay,2,camp,stove,T,1,943010.434244544
29,delay,2,poison,mayor,,1,943014.933846255
29,delay,2,card,elbow,,1,943019.433446758
29,delay,2,audience,market,,1,943023.933059637
29,delay,2,hotel,leather,T,NaN,943028.432652292
29,delay,2,horn,weed,S,NaN,943032.932281471
29,delay,2,floor,mechanic,,NaN,943037.43185511
29,delay,3,rifle,tent,T,1,943147.08874651
29,delay,3,colonel,prince,,NaN,943151.588362408
29,delay,3,dial,roof,,1,943156.087935745
29,delay,3,spray,highway,S,1,943160.587525382
29,delay,3,garden,root,S,NaN,943165.087122867
29,delay,3,fruit,husband,,NaN,943169.58668413
29,delay,3,island,ski,,1,943174.086304857
29,delay,3,beard,snow,T,NaN,943178.585895701
29,delay,3,book,pen,,NaN,943183.085489564
29,delay,3,shovel,rice,,1,943187.585088256
29,delay,3,forest,tent,,NaN,943192.084669743
29,delay,3,sock,prince,T,1,943196.584274774
29,delay,3,steak,roof,S,NaN,943201.083862298
29,delay,3,minister,highway,,NaN,943205.583454651
29,delay,3,jelly,root,,1,943210.083050627
29,delay,3,medal,husband,S,1,943214.58263966
29,delay,3,spot,ski,,NaN,943219.082232315
29,delay,3,gown,snow,,1,943223.581817123
29,delay,3,dame,pen,,1,943228.081408571
29,delay,3,pork,rice,T,NaN,943232.580997302
29,delay,4,beer,glove,T,1,943315.923334075
29,delay,4,toast,wing,,NaN,943320.422929749
29,delay,4,hawk,stomach,,NaN,943324.922513349
29,delay,4,foot,giant,T,NaN,943329.422094534
29,delay,4,bedroom,shirt,,1,943333.921675719
29,delay,4,portrait,sponge,,1,943338.421237585
29,delay,4,chapel,scale,S,1,943342.92083658
29,delay,4,statue,canal,,1,943347.420421387
29,delay,4,camel,wheat,S,NaN,943351.920000761
29,delay,4,feast,tomato,,NaN,943356.419580436
29,delay,4,window,glove,,NaN,943360.919157999
29,delay,4,carpet,wing,,1,943365.418740392
29,delay,4,hand,stomach,S,1,943369.918317955
29,delay,4,scissors,giant,,1,943374.417912421
29,delay,4,film,shirt,S,NaN,943378.917478514
29,delay,4,lawyer,sponge,T,NaN,943383.417059397
29,delay,4,planet,scale,,NaN,943387.916637865
29,delay,4,jail,canal,,NaN,943392.416216334
29,delay,4,magician,wheat,,1,943396.915799632
29,delay,4,president,tomato,T,1,943401.415379609
29,delay,5,frog,boss,S,1,943504.439030354
29,delay,5,poster,sting,,1,943508.93862482
29,delay,5,brandy,stake,S,NaN,943513.438176122
29,delay,5,lunch,mule,T,1,943517.937751874
29,delay,5,bush,pile,,1,943522.437317061
29,delay,5,telephone,ship,,NaN,943526.936865646
29,delay,5,scratch,jacket,,NaN,943531.436466452
29,delay,5,band,marble,,1,943535.936040996
29,delay,5,lemon,cheek,T,NaN,943540.435622483
29,delay,5,squirrel,witch,,NaN,943544.935218458
29,delay,5,wire,boss,,NaN,943549.434761912
29,delay,5,cave,sting,,NaN,943553.934372377
29,delay,5,factory,stake,,1,943558.433919453
29,delay,5,sword,mule,,NaN,943562.933526899
29,delay,5,ceiling,pile,S,NaN,943567.433068844
29,delay,5,guitar,ship,T,1,943571.932668441
29,delay,5,babe,jacket,S,1,943576.432216725
29,delay,5,dentist,marble,T,NaN,943580.93182236
29,delay,5,honeymoon,cheek,,1,943585.431364304
29,delay,5,table,witch,,1,943589.930965411
29,delay,6,paper,toad,,1,944033.189707626
29,delay,6,rope,spider,T,NaN,944037.689260136
29,delay,6,seal,candle,T,1,944042.188860639
29,delay,6,hall,envelope,,1,944046.688411338
29,delay,6,body,truck,,NaN,944051.188010332
29,delay,6,moon,gallery,,NaN,944055.687574613
29,delay,6,photograph,screw,S,NaN,944060.18719534
29,delay,6,fork,grass,,1,944064.686741511
29,delay,6,desk,board,,NaN,944069.186348051
29,delay,6,radio,priest,S,1,944073.685910824
29,delay,6,brake,toad,,NaN,944078.185508309
29,delay,6,cafe,spider,,1,944082.685067157
29,delay,6,storm,candle,,NaN,944087.1847232
29,delay,6,uniform,envelope,S,NaN,944091.684233753
29,delay,6,diamond,truck,T,1,944096.183858102
29,delay,6,butter,gallery,,1,944100.683426911
29,delay,6,cannon,screw,,1,944105.183018963
29,delay,6,passage,grass,T,NaN,944109.682638181
29,delay,6,alley,board,S,1,944114.182185861
29,delay,6,closet,priest,,NaN,944118.681798438
29,delay,7,bow,copper,T,1,944240.337284431
29,delay,7,smile,mustard,,1,944244.836820339
29,delay,7,ant,breakfast,,1,944249.336432312
29,delay,7,menu,corner,S,NaN,944253.835981502
29,delay,7,rain,gift,,NaN,944258.335585325
29,delay,7,poet,monk,,1,944262.835151418
29,delay,7,circle,potato,,NaN,944267.334721133
29,delay,7,parade,cocktail,S,1,944271.834307147
29,delay,7,wind,chart,,NaN,944276.333878069
29,delay,7,cabin,toilet,T,NaN,944280.833464688
29,delay,7,prisoner,copper,,NaN,944285.333053117
29,delay,7,plate,mustard,T,NaN,944289.832624643
29,delay,7,lock,breakfast,,NaN,944294.332219713
29,delay,7,maiden,corner,,1,944298.83178158
29,delay,7,morphine,gift,T,1,944303.33136518
29,delay,7,land,monk,S,NaN,944307.830939422
29,delay,7,belly,potato,S,1,944312.330524833
29,delay,7,magazine,cocktail,,NaN,944316.830104207
29,delay,7,bench,chart,,1,944321.329683581
29,delay,7,crane,toilet,,1,944325.829260238
29,delay,8,rabbi,choir,,1,944433.652472638
29,delay,8,butterfly,ambulance,S,1,944438.152044768
29,delay,8,city,dirt,,NaN,944442.651619916
29,delay,8,beam,eye,S,NaN,944447.151193253
29,delay,8,deck,salad,T,NaN,944451.650747271
29,delay,8,blade,pipe,,NaN,944456.150321514
29,delay,8,turtle,blanket,,NaN,944460.649897568
29,delay,8,tide,store,,1,944465.14948328
29,delay,8,chin,pearl,,1,944469.649037903
29,delay,8,neck,wreck,T,1,944474.148625729
29,delay,8,porch,choir,S,NaN,944478.648195141
29,delay,8,policeman,ambulance,,NaN,944483.147770591
